arduino_ms,minute,pir_state,ground_truth_present,activity
73375,1.0,0,1.0,still: reading
74375,1.0166666666666666,0,1.0,still: reading
75375,1.0333333333333334,0,1.0,still: reading
76375,1.05,0,1.0,still: reading
77375,1.0666666666666667,0,1.0,still: reading
78375,1.0833333333333333,0,1.0,still: reading
79375,1.1,0,1.0,still: reading
80375,1.1166666666666667,0,1.0,still: reading
81375,1.1333333333333333,0,1.0,still: reading
82375,1.15,0,1.0,still: reading
83375,1.1666666666666667,0,1.0,still: reading
84375,1.1833333333333333,0,1.0,still: reading
85375,1.2,0,1.0,still: reading
86375,1.2166666666666666,0,1.0,still: reading
87375,1.2333333333333334,0,1.0,still: reading
88375,1.25,0,1.0,still: reading
89375,1.2666666666666666,0,1.0,still: reading
90375,1.2833333333333334,0,1.0,still: reading
91375,1.3,0,1.0,still: reading
92375,1.3166666666666667,0,1.0,still: reading
93375,1.3333333333333333,0,1.0,still: reading
94375,1.35,0,1.0,still: reading
95375,1.3666666666666667,0,1.0,still: reading
96375,1.3833333333333333,0,1.0,still: reading
97375,1.4,0,1.0,still: reading
98375,1.4166666666666667,0,1.0,still: reading
99375,1.4333333333333333,0,1.0,still: reading
100375,1.45,0,1.0,still: reading
101375,1.4666666666666666,0,1.0,still: reading
102375,1.4833333333333334,0,1.0,still: reading
103375,1.5,0,1.0,still: reading
104375,1.5166666666666666,0,1.0,still: reading
105375,1.5333333333333334,0,1.0,still: reading
106375,1.55,0,1.0,still: reading
107375,1.5666666666666667,0,1.0,still: reading
108375,1.5833333333333333,0,1.0,still: reading
109375,1.6,0,1.0,still: reading
110375,1.6166666666666667,0,1.0,still: reading
111375,1.6333333333333333,0,1.0,still: reading
112375,1.65,0,1.0,still: reading
113375,1.6666666666666667,0,1.0,still: reading
114375,1.6833333333333333,0,1.0,still: reading
115375,1.7,0,1.0,still: reading
116375,1.7166666666666666,0,1.0,still: reading
117375,1.7333333333333334,0,1.0,still: reading
118375,1.75,0,1.0,still: reading
119375,1.7666666666666666,0,1.0,still: reading
120375,1.7833333333333334,0,1.0,still: reading
121375,1.8,0,1.0,still: reading
122375,1.8166666666666667,0,1.0,still: reading
123375,1.8333333333333333,0,1.0,still: reading
124375,1.85,0,1.0,still: reading
125375,1.8666666666666667,0,1.0,still: reading
126375,1.8833333333333333,0,1.0,still: reading
127375,1.9,0,1.0,still: reading
128375,1.9166666666666667,0,1.0,still: reading
129375,1.9333333333333333,0,1.0,still: reading
130375,1.95,0,1.0,still: reading
131375,1.9666666666666666,0,1.0,still: reading
132375,1.9833333333333334,0,1.0,still: reading
133375,2.0,0,1.0,still: reading
134375,2.0166666666666666,0,1.0,still: reading
