pc_datetime,arduino_ms,state
2026-07-29 17:39:59.566,17603,HIGH
2026-07-29 17:40:00.944,18971,LOW
2026-07-29 17:40:05.812,23842,HIGH
2026-07-29 17:40:12.511,30538,LOW
2026-07-29 17:40:16.281,34305,HIGH
2026-07-29 17:40:18.754,36770,LOW
2026-07-29 17:40:22.496,40502,HIGH
2026-07-29 17:40:23.826,41842,LOW
2026-07-29 17:40:34.239,52245,HIGH
2026-07-29 17:40:35.594,53588,LOW
2026-07-29 17:40:47.631,65611,HIGH
2026-07-29 17:40:53.462,71446,LOW
2026-07-29 17:42:20.044,157931,HIGH
2026-07-29 17:42:22.172,160056,LOW
2026-07-29 17:43:24.775,222591,HIGH
2026-07-29 17:43:26.143,223963,LOW
2026-07-29 17:46:38.006,415635,HIGH
2026-07-29 17:46:42.535,420153,LOW
2026-07-29 17:46:46.511,424124,HIGH
2026-07-29 17:46:47.854,425469,LOW
2026-07-29 17:46:51.640,429241,HIGH
2026-07-29 17:46:54.476,432078,LOW
2026-07-29 17:46:59.163,436758,HIGH
2026-07-29 17:47:16.118,453703,LOW
2026-07-29 17:47:19.909,457481,HIGH
2026-07-29 17:47:21.251,458823,LOW
2026-07-29 17:47:25.273,462850,HIGH
2026-07-29 17:47:29.243,466808,LOW
2026-07-29 17:47:33.301,470867,HIGH
2026-07-29 17:47:34.651,472208,LOW
2026-07-29 17:47:39.178,476738,HIGH
2026-07-29 17:47:50.155,487700,LOW
2026-07-29 17:47:54.685,492225,HIGH
2026-07-29 17:47:57.981,495517,LOW
2026-07-29 17:48:03.620,501155,HIGH
2026-07-29 17:48:04.961,502495,LOW
2026-07-29 17:48:09.039,506566,HIGH
2026-07-29 17:48:10.926,508458,LOW
2026-07-29 17:48:16.132,513647,HIGH
2026-07-29 17:48:18.518,516037,LOW
2026-07-29 17:48:22.705,520215,HIGH
2026-07-29 17:48:27.741,525257,LOW
2026-07-29 17:48:31.733,529230,HIGH
2026-07-29 17:48:34.923,532428,LOW
2026-07-29 17:48:41.028,538514,HIGH
2026-07-29 17:48:42.408,539893,LOW
2026-07-29 17:48:46.629,544117,HIGH
